%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=213719, 2020/01/8 10:45:53.20)
27 217 1.276202e+00 2.204965e+01  5.151710280430856510e+05  6.980770887416698970e+05  3.197169829631605148e+08  3.448534152208158970e+08
28 225 1.067661e+00 2.193292e+01  5.151710280430856510e+05  7.066785344613707857e+05  9.150188598757237196e+05  3.685397231124413610e+08
29 233 9.750199e-01 2.169948e+01  5.151710280430856510e+05  6.845381578846080229e+05  8.952521339875146514e+05  3.287152516517198086e+08
30 241 9.507054e-01 2.364893e+01  5.151710280430856510e+05  6.274231980597804068e+05  6.830207485755612142e+05  3.500460761143864989e+08
31 249 9.670778e-01 2.388205e+01  5.151710280430856510e+05  5.573905050459919730e+05  3.402301031553282738e+08  3.658299700048118234e+08
32 257 1.058401e+00 2.345812e+01  5.151710280430856510e+05  6.437511231361627579e+05  1.753404582042891383e+08  3.738750211981157064e+08
33 265 1.033315e+00 2.181439e+01  5.151710280430856510e+05  6.442525805478955153e+05  1.719720967443972230e+08  3.618675140787506700e+08
34 273 1.159639e+00 2.123871e+01  5.151710280430856510e+05  6.295316696113601793e+05  6.835293894055485725e+05  3.027226886989055276e+08
35 281 1.067326e+00 2.061016e+01  5.151710280430856510e+05  6.283075522879236378e+05  6.739098086802865146e+05  3.522055448159245849e+08
36 289 8.611882e-01 1.963827e+01  5.151710280430856510e+05  6.335723479080267716e+05  6.994128656120856758e+05  3.612622051429960132e+08
37 297 7.601677e-01 1.943364e+01  5.151710280430856510e+05  6.382120351170742651e+05  7.238985919392562937e+05  3.429068714525445104e+08
38 305 6.134308e-01 1.909902e+01  5.151710280430856510e+05  6.393967960020944010e+05  6.721010991190931527e+05  2.996809072313190699e+08
39 313 6.910320e-01 1.893455e+01  5.151710280430856510e+05  6.142741597615078790e+05  6.675914642448618542e+05  3.175538084177374244e+08
40 321 7.193201e-01 1.985162e+01  5.151710280430856510e+05  5.789398519183864119e+05  6.524025778315952048e+05  3.371108487957763076e+08
41 329 6.527882e-01 1.961505e+01  5.151710280430856510e+05  5.684334407193120569e+05  6.711740600243037334e+05  3.138152523114266396e+08
42 337 6.524903e-01 2.135976e+01  5.151710280430856510e+05  5.644012410292015411e+05  6.056282459974490339e+05  3.189066384508871436e+08
43 345 6.146303e-01 2.098690e+01  5.151710280430856510e+05  5.600637028497570427e+05  1.499150815114991665e+08  3.120806230885264874e+08
44 353 5.717208e-01 2.139021e+01  5.151710280430856510e+05  5.576882191586006666e+05  5.881950740948843304e+05  3.116597885967707038e+08
45 361 5.414109e-01 2.056746e+01  5.151710280430856510e+05  5.306033299975862028e+05  5.609880831688521430e+05  3.048882014400244951e+08
46 369 4.598667e-01 2.018012e+01  5.151710280430856510e+05  5.397994467950316612e+05  2.936704708504886627e+08  3.030253795244124532e+08
47 377 4.034060e-01 2.023581e+01  5.151710280430856510e+05  5.431766592457819497e+05  5.703237015659119934e+05  3.097408521314808130e+08
48 385 3.412239e-01 2.098272e+01  5.151710280430856510e+05  5.320629586572258268e+05  5.726302185811375966e+05  3.108436601325882077e+08
49 393 4.094429e-01 2.541331e+01  5.139043417191464687e+05  5.139043417191464687e+05  5.469600090737051796e+05  3.134620294340637922e+08
50 401 4.917963e-01 2.957126e+01  4.998491782679236494e+05  4.998491782679236494e+05  5.141154137149906019e+05  3.003725650332581401e+08
51 409 5.379190e-01 3.265766e+01  4.898933097264413955e+05  4.898933097264413955e+05  5.215519711600664887e+05  3.120171655294626951e+08
52 417 5.467708e-01 3.558015e+01  4.715162601351871272e+05  4.715162601351871272e+05  5.344522919768028660e+05  3.199436482914005518e+08
53 425 5.106534e-01 3.705228e+01  4.693420416715451283e+05  4.693420416715451283e+05  5.208886770497233374e+05  3.001519540922051072e+08
